"N","rep","center1","center2"
1000,1,-7.02809994937219,0.862722968046696
1000,2,-7.13053419543033,0.860967221519949
20000,1,-8.00460043323879,2.19754068507266
20000,2,-7.97531999889135,2.06860457692068
