"N","rep","prior","RI","WAIC","center1","center2"
50000,1,"True-confident",1,187.089318821036,-1.35303606649302,3.77674570765614
50000,1,"True-diffuse",0.935446205170976,231.090436578157,-1.35451766723964,3.77759024795687
50000,1,"Uniform",0.852710592160133,376.843775416479,0.159745650934597,3.83597202113684
50000,1,"Wrong-confident",0.686905754795663,334.618681374347,-1.33252847454624,3.77867094272637
50000,1,"Wrong-diffuse",0.771142618849041,293.034222191545,-1.34194986915072,3.78185114665955
50000,2,"True-confident",1,162.040061840736,-1.33822985796236,3.76213090814297
50000,2,"True-diffuse",0.980650542118432,210.307399435512,-1.34981412542972,3.76007327300264
50000,2,"Uniform",0.853044203502919,345.626807796486,-0.320656860989981,3.78589651255305
50000,2,"Wrong-confident",0.693577981651376,309.571044335194,-1.39973724576398,3.77146325031995
50000,2,"Wrong-diffuse",0.704086738949124,284.340197170137,-1.36473751660503,3.76501509081462
